scenario_id,node_class,failure_class,title,injection_boundary,terminal_status,priority,retry_policy,test_oracle
P2-BW-VALIDATION_FAILURE,bounded-external-write,VALIDATION_FAILURE,Bounded external-write node — Validation failure,B0_BEFORE_INTENT,FAILED_VALIDATION,P0,Correct inputs and create a new attempt; do not persist or dispatch action intent.,Mutation call count is zero.
P2-BW-TIMEOUT_BEFORE_EFFECT,bounded-external-write,TIMEOUT_BEFORE_EFFECT,Bounded external-write node — Timeout before side effect,B2_AFTER_INTENT_BEFORE_DISPATCH,RETRYABLE_CONFIRMED_NOT_APPLIED,P0,Retry only with the same idempotency key after readback proves no effect.,Zero live effect before retry; intent remains durable.
P2-BW-TIMEOUT_AFTER_EFFECT,bounded-external-write,TIMEOUT_AFTER_EFFECT,Bounded external-write node — Timeout after side effect,B3_AFTER_DISPATCH_BEFORE_RESPONSE,PASS_RECONCILED,P0,"If readback confirms effect, do not retry; if absent, retry same key; if inconclusive, suspend.",Exactly one live effect; lost response cannot cause duplicate dispatch.
P2-BW-DUPLICATE_WORKER,bounded-external-write,DUPLICATE_WORKER,Bounded external-write node — Duplicate worker,B2_CONCURRENT_DISPATCH_ATTEMPT,PASS_SINGLE_EFFECT,P0,Duplicate worker exits; duplicate key is rejected/deduplicated by store and provider.,External mutation count is one and stale fencing token writes are zero.
P2-BW-STALE_CHECKPOINT,bounded-external-write,STALE_CHECKPOINT,Bounded external-write node — Stale checkpoint,B2_BEFORE_INTENT_OR_RETRY,STALE_RECONCILE_REQUIRED,P0,Reload checkpoint and reconcile pending_action before any dispatch.,No new mutation occurs from a stale revision.
P2-BW-LEASE_EXPIRY,bounded-external-write,LEASE_EXPIRY,Bounded external-write node — Lease expiry,B3_IN_FLIGHT_ACTION,PASS_AFTER_FENCED_TAKEOVER,P0,New owner readbacks first; stale owner response may be recorded but cannot advance checkpoint.,Fencing rejects old owner checkpoint writes and prevents second external effect.
P2-BW-AMBIGUOUS_POST_STATE,bounded-external-write,AMBIGUOUS_POST_STATE,Bounded external-write node — Ambiguous post-state,B4_INCONCLUSIVE_READBACK,AMBIGUOUS_HUMAN_REQUIRED,P0-HITL,"No automatic retry. Human chooses confirm-applied, confirm-not-applied/retry-same-key, or abort.",PASS and repeat dispatch are both forbidden while readback is ambiguous.
P2-BW-HUMAN_TAKEOVER,bounded-external-write,HUMAN_TAKEOVER,Bounded external-write node — Human takeover,B4_OPERATOR_ESCALATION,HUMAN_RESOLVED_OR_ABORTED,P0-HITL,Only bounded decisions in takeover packet; any manual corrective mutation needs separate authority.,"Packet includes intent hash, idempotency key, request/response, readback, lease and checkpoint evidence."
P2-DR-SUCCESS,durable-checkpoint-cas-lease-resume,SUCCESS,Durable checkpoint/CAS/lease/resume node — Success,B5_AFTER_CHECKPOINT_BEFORE_TERMINAL,PASS,P0,No retry; resume uses persisted next node and exact binding.,Checkpoint revision advances exactly once under the active lease/fencing token and resume preserves all bindings.
P2-DR-VALIDATION_FAILURE,durable-checkpoint-cas-lease-resume,VALIDATION_FAILURE,Durable checkpoint/CAS/lease/resume node — Validation failure,B0_BEFORE_LOAD,FAILED_VALIDATION,P0,"Correct missing/invalid run, checkpoint, revision, binding or clock fields.",No lease or checkpoint mutation occurs.
P2-DR-TIMEOUT_BEFORE_EFFECT,durable-checkpoint-cas-lease-resume,TIMEOUT_BEFORE_EFFECT,Durable checkpoint/CAS/lease/resume node — Timeout before side effect,B2_BEFORE_CHECKPOINT_COMMIT,RETRYABLE_CONFIRMED_NOT_COMMITTED,P0,Retry CAS only after reload proves revision unchanged.,Checkpoint revision advances zero times.
P2-DR-TIMEOUT_AFTER_EFFECT,durable-checkpoint-cas-lease-resume,TIMEOUT_AFTER_EFFECT,Durable checkpoint/CAS/lease/resume node — Timeout after side effect,B3_AFTER_COMMIT_BEFORE_ACK,COMMIT_RECONCILED,P0,Treat matching advanced revision as success; never blindly repeat CAS.,Checkpoint revision advances exactly once despite lost acknowledgment.
P2-DR-DUPLICATE_WORKER,durable-checkpoint-cas-lease-resume,DUPLICATE_WORKER,Durable checkpoint/CAS/lease/resume node — Duplicate worker,B2_CONCURRENT_CAS,PASS_SINGLE_WRITER,P0,Loser reloads and stops or follows next persisted node.,One successful CAS; no two owners share a valid fencing token.
P2-DR-STALE_CHECKPOINT,durable-checkpoint-cas-lease-resume,STALE_CHECKPOINT,Durable checkpoint/CAS/lease/resume node — Stale checkpoint,B1_ON_LOAD,STALE_REJECTED,P0,Reload current revision; reject mismatched task/repo/SHA/scope/graph/node version.,Stale revision never overwrites current state.
P2-DR-LEASE_EXPIRY,durable-checkpoint-cas-lease-resume,LEASE_EXPIRY,Durable checkpoint/CAS/lease/resume node — Lease expiry,B2_DURING_NODE,RESUMED_NEW_FENCE,P0,New owner receives higher fencing token; old owner is permanently rejected.,Every post-takeover write carries the new token and old-token rowcount is zero.
P2-DR-AMBIGUOUS_POST_STATE,durable-checkpoint-cas-lease-resume,AMBIGUOUS_POST_STATE,Durable checkpoint/CAS/lease/resume node — Ambiguous post-state,B4_STORE_UNAVAILABLE_ON_READBACK,STORE_STATE_UNKNOWN,P0-HITL,No continuation or side-effect retry until checkpoint and live state can be read.,No false next-node advancement during store ambiguity.
P2-DR-HUMAN_TAKEOVER,durable-checkpoint-cas-lease-resume,HUMAN_TAKEOVER,Durable checkpoint/CAS/lease/resume node — Human takeover,B4_OPERATOR_ESCALATION,HUMAN_TAKEOVER_RESUMED,P0-HITL,"Manual ownership transfer requires audit, expiry/force policy, new fence and reconciliation.",Human cannot silently overwrite active lease or skip pending-action readback.
